,City,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
477,Nanortalik,24.4,66,69,14.88,60.14,-45.24
478,Bathsheba,78.8,78,40,14.99,13.22,-59.52
479,Coyhaique,46.4,81,75,2.24,-45.58,-72.07
480,Mangan,43.41,45,1,3.38,27.52,88.53
481,Sistranda,35.6,69,75,14.99,63.73,8.83
482,Aksarka,-10.64,94,100,5.14,66.56,67.8
483,Graaff-Reinet,57.99,76,0,5.46,-32.25,24.53
484,Heyang,44.44,63,0,5.5,26.1,107.47
485,Aquiraz,81.16,78,40,2.24,-3.9,-38.39
486,Marbella,54.43,81,45,10.29,36.52,-4.89
487,Mahasamund,68.0,88,0,4.7,21.1,82.1
488,Bonthe,77.09,89,56,4.65,7.53,-12.51
489,Beni Suef,43.92,87,0,3.96,29.07,31.1
490,Mtambile,80.94,84,94,11.48,-5.38,39.7
491,Hofn,38.52,59,61,15.23,64.25,-15.21
492,Tromso,17.98,62,75,28.86,69.65,18.96
493,Rundu,66.09,87,23,5.17,-17.93,19.77
494,Umm Kaddadah,55.02,20,0,11.5,13.6,26.69
495,Goundi,63.93,16,0,3.15,9.36,17.37
496,Pueblo Nuevo,49.1,79,0,5.26,23.38,-105.38
497,Gorontalo,88.86,59,40,6.69,0.54,123.06
498,Adrar,68.59,26,0,11.95,20.5,-10.07
499,Avera,41.29,93,1,2.62,33.19,-82.53
500,Lakatoro,86.0,74,75,9.17,-16.1,167.42
501,San Rafael,69.93,65,100,7.25,-34.62,-68.33
502,Benjamin Aceval,80.6,88,75,2.01,-24.97,-57.57
503,Myaundzha,-30.8,83,28,3.4,63.05,147.19
504,Ca Mau,87.17,50,74,8.48,9.18,105.15
505,Tautira,82.24,78,75,16.11,-17.73,-149.15
506,Beloha,70.0,94,92,6.6,-25.17,45.05
507,Port Macquarie,88.48,62,90,10.29,-31.43,152.92
508,Banda Aceh,78.4,75,100,2.57,5.56,95.32
509,Shitanjing,29.86,53,0,2.8,39.23,106.34
510,Coeneo de la Libertad,55.17,35,20,3.65,19.82,-101.58
511,Cap Malheureux,71.87,94,75,5.91,-19.98,57.61
512,Vinh Long,84.2,74,75,8.05,10.25,105.97
513,Krasnosel'kup,-5.85,97,98,10.92,65.7,82.47
514,Makow Mazowiecki,37.49,80,100,11.41,52.86,21.1
515,Bom Jesus da Lapa,75.2,94,90,3.36,-13.26,-43.42
516,Beringovskiy,0.23,95,96,3.24,63.05,179.32
517,Ibra,55.9,56,0,3.33,22.69,58.53
518,Maksatikha,20.52,96,99,4.99,57.8,35.88
519,Zambezi,64.8,95,89,3.91,-13.54,23.1
520,Grindavik,27.46,79,0,6.93,63.84,-22.43
521,Tancanhuitz,64.45,93,51,2.51,21.6,-98.97
522,Piacabucu,78.89,75,0,7.92,-10.41,-36.43
523,Dera Ghazi Khan,50.32,73,0,9.89,30.06,70.63
524,Beira,81.07,78,0,14.5,-19.84,34.84
525,Awjilah,52.18,77,0,6.44,29.11,21.29
526,Inhambane,75.56,64,0,6.11,-23.86,35.38
527,Bethanien,64.96,24,6,2.86,-26.5,17.16
528,Maba,46.94,66,77,6.87,24.68,113.6
529,Clyde River,-23.8,74,1,4.7,70.47,-68.59
530,Russellville,41.99,87,90,4.7,35.28,-93.13
531,Kachug,7.79,90,0,1.9,53.96,105.88
532,Mayo,41.29,65,90,9.17,38.89,-76.51
533,Egvekinot,-5.96,81,100,0.74,66.32,-179.17
534,Port Hardy,44.6,81,90,21.92,50.7,-127.42
535,Kroya,91.99,60,85,0.69,-7.63,109.25
536,Benghazi,59.27,65,0,8.81,32.12,20.07
537,Moree,96.8,32,57,6.93,-29.47,149.85
538,Rio Gallegos,46.4,61,87,21.92,-51.62,-69.22
539,Sur,62.26,52,0,8.16,22.57,59.53
540,Pechenga,-18.4,75,90,14.99,69.53,31.17
541,Vigeland,36.45,93,100,5.82,58.08,7.3
542,Belyy Yar,14.0,85,40,2.24,53.6,91.39
543,Moindou,91.4,41,100,16.11,-21.69,165.68
544,Lar,61.75,76,6,8.46,26.2,83.97
545,Menomonie,15.87,78,40,3.36,44.88,-91.92
546,Belawan,75.2,100,75,8.59,3.78,98.68
547,The Valley,77.47,83,20,4.7,18.22,-63.06
548,Yerbogachen,7.95,93,100,4.36,61.28,108.01
549,Yichang,48.79,61,0,2.1,30.71,111.28
550,Nizhniy Odes,-7.19,98,100,4.29,63.64,54.86
551,San Bartolo Cuitareo,54.54,35,20,4.14,19.62,-100.6
552,Thinadhoo,80.71,76,28,15.5,0.53,72.93
553,Okato,69.87,78,100,15.01,-39.2,173.88
554,Necochea,64.99,99,100,3.0,-38.55,-58.74
555,Touros,78.8,88,40,2.24,-5.2,-35.46
556,Sile,44.47,71,10,13.87,41.18,29.61
557,Valparaiso,61.81,88,40,4.7,-33.04,-71.63
558,Ozernovskiy,27.25,80,100,5.32,51.5,156.52
559,Virginia Beach,35.62,80,1,15.19,36.85,-75.98
560,Tondi,79.2,73,27,9.26,9.73,79.02
561,Binzhou,34.39,84,100,2.35,37.37,118.02
562,Samarai,89.78,57,23,7.02,-10.62,150.67
563,Aasiaat,3.69,93,92,13.85,68.71,-52.87
564,Soyo,79.97,84,100,3.49,-6.13,12.37
565,Jalingo,69.35,19,0,4.99,8.88,11.37
566,Grajau,72.12,95,52,3.62,-5.82,-46.14
